562.488  152.951  VimEnter   autocommands
365.412  000.090  000.090    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/themes.vim
168.844  000.089  000.089    sourcing      /home/osboxes/.vim/eclim/plugin/ftdetect.vim
138.976  000.086  000.086    sourcing      /usr/share/nvim/runtime/autoload/provider/pythonx.vim
239.858  000.085  000.085    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/parts.vim
248.521  000.084  000.084    sourcing      /home/osboxes/.vim/plugged/deoplete.nvim/plugin/deoplete.vim
096.057  000.080  000.080    sourcing      /home/osboxes/.vim/plugged/ultisnips/ftdetect/snippets.vim
298.164  000.076  000.076    sourcing      /usr/share/nvim/runtime/plugin/man.vim
037.021  000.075  000.075    sourcing      /usr/share/nvim/runtime/ftplugin.vim
343.052  000.073  000.073    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/extensions/ale.vim
347.343  000.073  000.073    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/extensions/wordcount.vim
340.829  000.072  000.072    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/extensions/fugitiveline.vim
231.003  000.071  000.071    sourcing      /usr/share/nvim/runtime/indoff.vim
313.434  000.071  000.071    sourcing      /home/osboxes/.vim/plugged/ale/after/plugin/ale.vim
039.181  000.066  000.066    sourcing      /usr/share/nvim/runtime/indent.vim
348.745  000.062  000.062    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/extensions/keymap.vim
210.565  000.060  000.060    sourcing      /home/osboxes/.vim/plugged/vim-windowswap/plugin/WindowSwap.vim
345.734  000.059  000.059    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/extensions/po.vim
003.941  000.058  inits      2
341.983  000.058  000.058    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/extensions/eclim.vim
407.221  000.055  000.055    sourcing      /home/osboxes/.vim/plugged/ale/autoload/ale/events.vim
283.287  000.054  000.054    sourcing      /home/osboxes/.vim/plugged/echodoc.vim/plugin/echodoc.vim
233.495  000.052  000.052    sourcing      /usr/share/nvim/runtime/indent.vim
404.582  000.051  000.051    sourcing      /home/osboxes/.vim/plugged/ale/autoload/ale/pattern_options.vim
310.926  000.049  000.049    sourcing      /usr/share/nvim/runtime/plugin/tutor.vim
180.082  000.048  000.048    sourcing      /home/osboxes/.vim/eclim/plugin/vimplugin.vim
280.907  000.048  000.048    sourcing      /home/osboxes/.vim/plugged/vim-snippets/plugin/vimsnippets.vim
182.214  000.044  000.044    sourcing      /home/osboxes/.vim/plugin/functional.vim
334.065  000.043  000.043    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/extensions/netrw.vim
091.603  000.041  000.041    sourcing      /home/osboxes/.vim/plugged/vim-tmux/ftdetect/tmux.vim
132.600  000.041  000.041    sourcing      /home/osboxes/.vim/.vimrc-eclim
000.039  000.039  ---        NVIM          STARTING                                                                             ---
134.086  000.039  000.039    sourcing      /home/osboxes/.vim/plugin/CountSpaces.vim
335.479  000.038  000.038    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/extensions/undotree.vim
564.919  000.038  000.038    sourcing      /home/osboxes/.vim/plugged/vim-lsp/autoload/lsp/ui/vim/diagnostics/echo.vim
131.124  000.036  000.036    sourcing      /home/osboxes/.vim/functions.vim
035.424  000.035  000.035    sourcing      /usr/share/nvim/runtime/filetype.vim
307.829  000.035  000.035    sourcing      /usr/share/nvim/runtime/plugin/spellfile.vim
093.825  000.032  000.032    sourcing      /home/osboxes/.vim/plugged/vim-gradle/ftdetect/gradle.vim
297.403  000.030  000.030    sourcing      /usr/share/nvim/runtime/plugin/health.vim
227.069  000.028  000.028    sourcing      /usr/share/nvim/runtime/ftplugin.vim
232.177  000.027  000.027    sourcing      /usr/share/nvim/runtime/filetype.vim
038.137  000.023  000.023    sourcing      /usr/share/nvim/runtime/filetype.vim
241.431  000.022  000.022    sourcing      /home/osboxes/.vim/plugged/vim-airline-themes/plugin/airline-themes.vim
294.926  000.021  000.021    sourcing      /usr/share/nvim/runtime/plugin/gui_shim.vim
306.237  000.020  000.020    sourcing      /usr/share/nvim/runtime/plugin/rrhelper.vim
032.986  000.019  000.019    sourcing      /usr/share/nvim/runtime/filetype.vim
056.992  000.018  000.018    sourcing      /usr/share/nvim/runtime/macros/matchit.vim
225.758  000.018  000.018    sourcing      /usr/share/nvim/runtime/filetype.vim
314.693  000.018  inits      3
098.757  000.017  000.017    sourcing      /usr/share/nvim/runtime/indent.vim
097.721  000.015  000.015    sourcing      /usr/share/nvim/runtime/ftplugin.vim
228.135  000.014  000.014    sourcing      /usr/share/nvim/runtime/indent.vim
003.335  000.012  window     checked
577.132  000.005  ---        NVIM          STARTED                                                                              ---
562.492  000.004  before     starting      main                                                                                 loop
003.883  000.003  expanding  arguments
407.352  000.003  editing    files         in                                                                                   windows
